cluster,n_atoms,E_cluster,BE_per_atom
C-187658-4107-120,240,-8.984389972766486,-7.33256504178014
C-187658-4107-121,240,-9.223184937192453,-7.331570062761698
C-187658-4107-122,240,-8.723443089355541,-7.3336523204610184
C-187658-4107-123,240,-10.35768930256514,-7.326842961239311
C-187658-4107-125,240,-10.31437896612635,-7.327023420974474
C-187658-4107-126,240,-11.08010561973123,-7.32383289325112
C-187658-4107-127,240,-8.366477778482524,-7.335139675922989
C-187658-4107-128,240,-9.09459492940374,-7.332105854460818
C-187658-4107-129,240,-9.86515827592263,-7.328895173850323
C-187658-4107-13,240,-8.37371502273383,-7.335109520738609
